"cpf","sexo","salario","estado","poupanca","altura","peso","total.emprestimo","financiamento"
594315857,"M",4204.58,"GO",14557.53,1.63,118,420.46,"N"
692692600,"F",NA,"MA",14708.81,1.85,121.53,0,"S"
592291238,"F",4315.73,"DF",11662.62,1.95,56.71,0,"S"
98049951,"M",NA,"DF",0,11.89,63.88,469.8,"N"
656747445,"F",4333.69,"AC",-1000,1.88,68.28,0,"S"
636892990,"M",4308.05,"CE",0,2.05,101.06,0,"N"
286468587,"M",4816.54,"MS",-1000,1.62,95.39,0,"S"
731159707,"M",4639.33,"SP",13216,1.85,127.16,0,"S"
616189580,"M",4828.59,"RO",18704.81,1.58,67.96,NA,"S"
132343102,"M",4610.8,"SC",15116.02,1.62,103.2,461.08,"N"
372438698,"F",25199.57,"BA",13011.85,1.73,104.44,0,"N"
207551898,"F",25145.54,"SC",-1000,2.03,90.48,0,"S"
72735656,"M",5382.64,"BA",19025.94,2.02,87.89,0,"N"
580427507,"F",5003.74,"AM",0,1.42,102.29,0,"N"
189369516,"F",5259.28,"AL",0,1.78,95.3,525.93,"N"
743667744,"M",5304.85,"MG",19114.68,2.06,71.18,530.49,"S"
358800018,"F",5890.88,"CE",0,2.03,128.2,0,"S"
848133168,"M",5338.42,"RJ",10078.1,1.78,121.83,533.84,"S"
816303374,"M",5957.88,"GO",0,2.07,129.21,0,"S"
792789534,"M",5489.12,"RN",14428.67,1.44,56.38,0,"N"
661792825,"F",5505.59,"MG",14737.13,11.69,79.82,0,"N"
685717714,"M",5566.49,"AC",0,1.62,116.09,0,"S"
173559152,"M",5785.01,"PE",0,1.42,129.71,578.5,"N"
846321847,"M",5988.15,"MT",10267.8,1.7,84.82,0,"N"
601820567,"F",5626.39,"MA",0,2.06,101.53,0,NA
224930073,"M",5673.42,"SE",0,1.68,83.54,0,"S"
777183116,"M",5378.73,"MG",-1000,1.79,122.05,0,"N"
261759879,"M",5342.13,"PI",9439.06,1.92,102.37,0,"S"
766407795,"M",4997.69,"AC",11202.74,1.97,88.28,499.77,"N"
795326448,"F",4953.99,"PB",0,2.1,55.55,0,"N"
804595743,"M",5065.77,"PI",0,1.61,92.99,0,"N"
555284650,"M",5065.23,"PB",0,1.54,125.01,0,"N"
389805494,"M",5222.71,"RS",-1000,1.45,123.6,0,"S"
813971610,"M",4525.37,"PB",-1000,1.56,129.89,452.54,"N"
715051219,"F",4918.77,"GO",-1000,1.89,86.64,0,"N"
332240654,"M",4702.71,"MG",NA,1.71,98.71,0,"N"
132304515,"F",4307.96,"AL",12032.38,1.72,105.66,0,"S"
30538785,"M",4418.44,"AL",0,1.96,69.51,0,"N"
651791449,"F",4456.86,"RR",1023.35,1.49,82.63,445.69,"N"
728489787,"F",4278.67,"MG",0,1.96,112.46,0,"N"
688808167,"F",4689.86,"BA",0,1.99,119.37,0,"N"
889908982,"F",4414.32,"MS",0,1.46,56.6,0,"N"
362240963,"F",4201.85,"SP",13230.32,1.7,61.16,420.19,"N"
868809905,"F",4460.14,"CE",0,2.02,82.91,0,"N"
535751197,"F",4299.31,"AC",0,1.7,108.56,429.93,"N"
36417672,"F",4618.71,"AL",0,1.83,102.09,0,"N"
305769345,"M",4089.1,"MT",12097.92,1.86,101.64,0,"S"
839747002,"M",4297.15,"MA",5542.76,2.1,106.36,0,"N"
583918580,"M",4558.59,"AC",0,1.62,114.28,0,"N"
337459817,"F",4316.29,"CE",0,1.49,99.72,431.63,"N"
984384911,"M",4844.69,"RO",0,1.59,95.06,0,"N"
37181361,"M",4965.43,"MG",12783.73,1.95,116.45,496.54,"N"
966057390,"F",4631.74,"GO",11875.57,1.98,93.17,463.17,"N"
545225865,"F",4842.06,"AP",0,1.8,67.85,0,"N"
269258741,"M",5208.58,"MS",1538.25,1.72,96.53,0,"S"
378042504,"F",5073.03,"AL",11451.96,2.02,100.18,0,"S"
622409979,"F",5003.47,"MG",4581.04,1.78,104.87,500.35,"N"
871722303,"F",5246.53,"PI",0,1.98,88.64,0,"S"
844319421,"F",5441.39,"AP",0,1.62,90.62,0,"S"
284286508,"M",5807.2,"SE",0,1.52,67.46,580.72,"N"
481597880,"M",5775.85,"PB",0,1.98,81.61,0,"S"
54958255,"M",5572.08,"RN",4021.8,1.63,64.96,0,"S"
259272794,"F",5507.3,"MT",1372.99,11.71,113.86,0,"S"
999056163,"M",5446.5,"MG",0,1.52,98.7,0,"S"
72320518,"M",25715.66,"TO",0,1.42,69.61,571.57,"N"
990622243,"M",5415.64,"AP",0,11.63,76.71,0,"S"
439380605,"M",5394.91,"MA",0,1.89,80.33,0,"S"
162729173,"M",5725.48,"PB",0,1.82,84.03,0,"S"
527461537,"F",5935.35,"AP",0,1.56,97.79,0,"S"
561660552,"F",5463.2,"CE",11020.77,1.56,106.52,0,"N"
484735673,"F",5537.52,"SC",0,1.64,98.47,0,"S"
590640618,"F",5615.95,"RO",0,2.01,76.41,0,"S"
734523273,"F",5234.63,"SC",0,2.03,59.6,0,"S"
749231336,"F",5098.71,"GO",5083.93,1.54,86.03,0,"N"
800873612,"M",5050.6,"SC",0,1.85,70.45,505.06,"N"
114855987,"F",5173.08,"ES",0,2.06,56.01,NA,"S"
732206762,"M",5093.54,"MT",0,1.99,60.94,0,"N"
979735564,"F",NA,"RN",0,1.55,80.61,453.09,"N"
544595373,"M",4791.5,"SC",NA,1.95,98.52,479.15,NA
197264897,"F",4432.7,"PI",14558.95,1.59,94.28,443.27,"N"
652029871,"F",4815.36,"GO",18703.8,1.54,114.66,481.54,"N"
602296020,"F",4474.2,"SC",0,11.58,94.5,0,"N"
765412673,"M",4152.84,"GO",0,1.84,99.62,0,"N"
47273520,"F",4313.4,"MG",-1000,1.4,120.64,0,"S"
437181753,"F",4532.7,"SP",16003.27,1.69,100.78,0,"S"
446433649,"M",4278.18,"GO",0,1.8,68.91,427.82,"N"
944893801,"M",4615.78,"MA",12820.22,1.86,73.52,461.58,"N"
999966843,"M",NA,"MA",0,1.69,78.69,0,"N"
980998074,"F",4423.99,"SC",0,1.43,123.87,0,"N"
672097271,"M",4000,"AC",-1000,11.72,114.22,0,"N"
314661207,"M",24693.74,"SE",0,1.74,105.84,0,"N"
857396537,"F",4072,"AP",0,1.93,87.68,407.2,"N"
239729870,"F",4291.98,"MS",0,1.63,90.89,0,"N"
844339630,"F",4601.64,"RS",0,2.08,106.92,460.16,"N"
331265242,"M",4438.43,"RO",2965.29,1.89,102.36,443.84,"N"
282912066,"F",4589.03,"AC",0,1.67,81.6,NA,"N"
344418752,"F",4498.22,"PI",0,1.76,126.05,0,"N"
299183244,"M",4773.63,"SC",17704.78,1.83,129.02,477.36,"N"
71618489,"M",4835.48,"MS",7573.43,1.5,70.62,0,"N"
956272437,"M",4928.42,"MA",0,1.78,73.34,0,"N"
420846191,"F",5300.01,"MS",2357.71,2,113.74,530,NA
577287212,"M",5251.94,"PA",0,1.97,64.29,0,"S"
178335051,"M",5581.93,"MS",3133.77,1.68,76.24,558.19,"N"
743322819,"M",5579.16,"MT",7306.13,1.76,82.94,0,"S"
96524313,"M",5517.75,"DF",0,1.7,62.83,0,"S"
326984516,"M",25282.3,"SE",0,2.09,120.2,0,"S"
471926034,"M",5478.12,"PR",6713.58,2.04,78.17,0,"S"
618441035,"F",5505.92,"AL",0,1.92,96.6,550.59,"N"
453435083,"F",5376.15,"AC",0,1.83,98.12,0,"S"
51265126,"M",5367.18,"TO",0,1.64,62.21,0,"S"
816936435,"M",5667.82,"RS",0,1.85,97.53,0,"S"
645864158,"M",5701.69,"MG",10857.52,1.44,58.42,0,"N"
746030774,"F",5969.89,"PB",17849.54,1.64,75.42,0,"N"
600285221,"F",5385.27,"PI",0,1.93,99.34,0,"S"
177247818,"M",5291,"CE",13349.88,1.97,86.64,0,"N"
300168030,"M",5670.59,"PB",0,1.9,77.91,0,"S"
986185142,"F",5410.8,"TO",17891.46,2.04,105.44,0,"N"
39472516,"M",5044.03,"PE",0,1.66,77.46,504.4,"N"
258764009,"M",5336.45,"RR",0,11.73,114.76,0,"S"
118756341,"M",4891.57,"SP",0,1.88,87.15,0,"N"
866371354,"M",5208.13,"PE",0,2.05,100.35,0,"S"
132054837,"M",5369.31,"BA",0,1.43,114.24,0,"S"
542794211,"F",5464.73,"ES",5672.81,1.41,98.18,546.47,"N"
731648039,"F",4265.47,"AC",0,1.76,112.75,0,"N"
490455611,"F",4607.93,"MS",0,2.06,123.9,460.79,"N"
616189580,"M",4828.59,"RO",18704.81,1.58,67.96,0,"S"
132343102,"M",4610.8,"SC",15116.02,1.62,103.2,461.08,"N"
792789534,"M",5489.12,"RN",14428.67,1.44,56.38,0,"N"
813971610,"M",4525.37,"PB",-1000,1.56,129.89,452.54,"N"
839747002,"M",4297.15,"MA",5542.76,2.1,106.36,0,"N"
844339630,"F",4601.64,"RS",0,2.08,106.92,460.16,"N"
